drugbank_id	category	uniprot_id	entrez_gene_id	organism	known_action	actions	pubmed_ids
DB00001	target	P00734	2147	Humans	yes	inhibitor	10505536|10912644|11055889|11467439|11807012|11752352
DB00002	target	P00533	1956	Humans	yes	antagonist	10480573|10601294|10628369|11408594|11431346|11752352
DB00002	target	O75015	2215	Humans	unknown		16336752
DB00002	target	P00736	715	Humans	unknown		17139284|17016423
DB00002	target	P02745	712	Humans	unknown		17139284|17016423
DB00002	target	P02746	713	Humans	unknown		17139284|17016423
DB00002	target	P02747	714	Humans	unknown		17139284|17016423
DB00002	target	P08637	2214	Humans	unknown		17139284|17016423|17704420
DB00002	target	P09871	716	Humans	unknown		17139284|17016423
DB00002	target	P12314	2209	Humans	unknown		7547242
DB00002	target	P12318	2212	Humans	unknown		17139284|17016423|17704420
DB00002	target	P31994	2213	Humans	unknown		17139284|17016423
DB00002	target	P31995	9103	Humans	unknown		17139284|17016423
DB00004	target	P01589	3559	Humans	yes	binder	17139284|17016423|2786749|3124610|18684057|17187516|11752352
DB00004	target	P14784	3560	Humans	yes	agonist	15811959|16516670|18684057|17187516|11752352
DB00004	target	P31785	3561	Humans	unknown		15811959|16516670|11707860
DB00005	target	O75015	2215	Humans	unknown		10800083|17387033|15457442|15526004
DB00005	target	P00736	715	Humans	unknown		17139284|17016423
DB00005	target	P02745	712	Humans	unknown		17139284|17016423
DB00005	target	P02746	713	Humans	unknown		17139284|17016423
DB00005	target	P02747	714	Humans	unknown		17139284|17016423
DB00005	target	P08637	2214	Humans	unknown		15457442|15526004
DB00005	target	P09871	716	Humans	unknown		17139284|17016423
DB00005	target	P12314	2209	Humans	unknown		17139284|17016423
DB00005	target	P12318	2212	Humans	unknown		15457442|15526004
DB00005	target	P31994	2213	Humans	unknown		17139284|17016423
DB00005	target	P31995	9103	Humans	unknown		10800083|7535196
DB00005	target	P01375	7124	Humans	yes	antibody	10206649|10338381|10357816|10375846|10405518|11752352
DB00005	target	P20333	7133	Humans	unknown		11752352
DB00005	target	P01374	4049	Humans	unknown		11302411|1328224|15005015|15033655|15695296
DB00006	target	P00734	2147	Humans	yes	inhibitor	11060732|11504570|11833835|11923794|11929334|11752352
DB00006	enzyme	P05164	4353	Humans	unknown	inhibitor	18701766
DB00007	target	P30968	2798	Humans	yes	agonist	16809153|10687850|9625809|15758569|10394541
DB00007	enzyme	P08684	1576	Humans	no	substrate	17922273
DB00008	target	P48551	3455	Humans	yes	agonist	15898717|16953837|19955815|11752352
DB00008	target	P17181	3454	Humans	yes	agonist	15898717|16953837|19955815|11752352
DB00008	enzyme	P05177	1544	Humans	unknown	inhibitor	11910269
DB00009	target	P00747	5340	Humans	yes	activator	18673235|19436656|17963464|11752352
DB00009	target	P02671	2243	Humans	yes		18673235|19436656|17963464
DB00009	target	Q03405	5329	Humans	unknown		17139284|17016423
DB00009	target	P05121	5054	Humans	unknown		17963464
DB00010	target	Q02643	2692	Humans	yes	agonist	14499707|11752352
DB00011	target	P48551	3455	Humans	yes	agonist	17139284|17016423|10822464|19955815|11752352
DB00011	target	P17181	3454	Humans	yes	agonist	17139284|17016423|10822464|19955815|11752352
DB00011	enzyme	P05177	1544	Humans	unknown	inhibitor	9064483
DB00012	target	P19235	2057	Humans	yes	agonist	16505108|17575216|11752352
DB00013	target	P00747	5340	Humans	yes	activator	12658774|12666133|12719778|12720300|12745435|11752352
DB00013	target	Q03405	5329	Humans	yes	inducer|modulator	12615913|12817472|14679304|14688365|14720519|17327908
DB00013	target	P05121	5054	Humans	yes	substrate|inducer	12579271|12642587|12709915|12745435|12785198
DB00013	target	P05120	5055	Humans	yes	substrate|inducer	15277569|15351849|15640330|15944795|16327990
DB00013	target	P05154	5104	Humans	unknown	substrate	17434507|17253188|14645112
DB00013	target	P98164	4036	Humans	unknown	substrate	17139284|17016423|8241286|1280065|7959795
DB00013	target	Q9Y5Y6	6768	Humans	unknown	substrate	14747469|12815039
DB00013	target	P14543	4811	Humans	unknown	ligand	17139284|17016423|1499567
DB00013	enzyme	P39900	4321	Humans	unknown	substrate	12195704
DB00014	target	P30968	2798	Humans	yes	agonist	20053189
DB00014	target	P22888	3973	Humans	yes	agonist	17139284|17016423|20053189
DB00015	target	P00747	5340	Humans	yes	activator	17963464|18673235|19436656|11752352
DB00015	target	P02671	2243	Humans	yes		18673235|19436656|17963464
DB00015	target	Q03405	5329	Humans	unknown		17139284|17016423
DB00015	target	P05121	5054	Humans	unknown		17963464
DB00016	target	P19235	2057	Humans	yes	agonist	16505108|17575216|11752352
DB00017	target	P30988	799	Humans	unknown	agonist	3004987|7610922|9231703|11752352
DB00018	target	P48551	3455	Humans	yes	agonist	17139284|17016423|15898717|19955815|16953837|11752352
DB00018	target	P17181	3454	Humans	yes	agonist	17139284|17016423|15898717|19955815|11752352
DB00018	enzyme	P05177	1544	Humans	unknown	inhibitor	9064483
DB00019	target	Q99062	1441	Humans	yes	agonist	17001306|12944913|17127322|16033816|15949269|15082029
DB00019	enzyme	P08246	1991	Humans	no	substrate	14657210|16245075|12958067|15353486|17475913|26105553
DB00020	target	P15509	1438	Humans	yes	agonist	17090651|16760463|17522711|16638185|11752352
DB00020	target	P26951	3563	Humans	yes	agonist	17562355|17500228|16698686|17522711
DB00020	target	P32927	1439	Humans	yes	agonist	17139284|17016423|1424804
DB00020	target	P34741	6383	Humans	unknown	agonist	17139284|17016423|10734053
DB00020	target	P13727	5553	Humans	unknown		17383764|16522458|17600316
DB00022	target	P48551	3455	Humans	yes	agonist	17139284|17016423|15898717|19955815|16953837|11752352
DB00022	target	P17181	3454	Humans	yes	agonist	17139284|17016423|15898717|19955815|16953837|11752352
DB00022	enzyme	P05177	1544	Humans	unknown	inhibitor	21161196
DB00022	enzyme	P10635	1565	Humans	unknown	inhibitor	
DB00022	enzyme	P11712	1559	Humans	unknown	inducer	22765278
DB00023	carrier	P05543	6906	Humans	no	inhibitor	
DB00024	target	P16473	7253	Humans	yes	agonist	15571461|9039330|11752352
DB00025	enzyme	P00734	2147	Humans	unknown	activator	10688826|1139038|12463731|2402772|3099625
DB00025	target	P00742	2159	Humans	yes	activator	13801371|14285227|236567|6436416|11891806
