drugbank_id	category	entrez_gene_id	source	target	edges
DB00001	target	2147	Compound::DB00001	Gene::2147	DRUGBANK::target::Compound:Gene
DB00002	target	1956	Compound::DB00002	Gene::1956	DRUGBANK::target::Compound:Gene
DB00002	target	2215	Compound::DB00002	Gene::2215	DRUGBANK::target::Compound:Gene
DB00002	target	715	Compound::DB00002	Gene::715	DRUGBANK::target::Compound:Gene
DB00002	target	712	Compound::DB00002	Gene::712	DRUGBANK::target::Compound:Gene
DB00002	target	713	Compound::DB00002	Gene::713	DRUGBANK::target::Compound:Gene
DB00002	target	714	Compound::DB00002	Gene::714	DRUGBANK::target::Compound:Gene
DB00002	target	2214	Compound::DB00002	Gene::2214	DRUGBANK::target::Compound:Gene
DB00002	target	716	Compound::DB00002	Gene::716	DRUGBANK::target::Compound:Gene
DB00002	target	2209	Compound::DB00002	Gene::2209	DRUGBANK::target::Compound:Gene
DB00002	target	2212	Compound::DB00002	Gene::2212	DRUGBANK::target::Compound:Gene
DB00002	target	2213	Compound::DB00002	Gene::2213	DRUGBANK::target::Compound:Gene
DB00002	target	9103	Compound::DB00002	Gene::9103	DRUGBANK::target::Compound:Gene
DB00004	target	3559	Compound::DB00004	Gene::3559	DRUGBANK::target::Compound:Gene
DB00004	target	3560	Compound::DB00004	Gene::3560	DRUGBANK::target::Compound:Gene
DB00004	target	3561	Compound::DB00004	Gene::3561	DRUGBANK::target::Compound:Gene
DB00005	target	2215	Compound::DB00005	Gene::2215	DRUGBANK::target::Compound:Gene
DB00005	target	715	Compound::DB00005	Gene::715	DRUGBANK::target::Compound:Gene
DB00005	target	712	Compound::DB00005	Gene::712	DRUGBANK::target::Compound:Gene
DB00005	target	713	Compound::DB00005	Gene::713	DRUGBANK::target::Compound:Gene
DB00005	target	714	Compound::DB00005	Gene::714	DRUGBANK::target::Compound:Gene
DB00005	target	2214	Compound::DB00005	Gene::2214	DRUGBANK::target::Compound:Gene
DB00005	target	716	Compound::DB00005	Gene::716	DRUGBANK::target::Compound:Gene
