drugbank_id	mesh_id	source	target	edges
DB00003	D003550	Compound::DB00003	Disease::MESH:D003550	DRUGBANK::treats::Compound:Disease
DB00004	D016410	Compound::DB00004	Disease::MESH:D016410	DRUGBANK::treats::Compound:Disease
DB00005	D001172	Compound::DB00005	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00005	D001171	Compound::DB00005	Disease::MESH:D001171	DRUGBANK::treats::Compound:Disease
DB00005	D015535	Compound::DB00005	Disease::MESH:D015535	DRUGBANK::treats::Compound:Disease
DB00005	D013167	Compound::DB00005	Disease::MESH:D013167	DRUGBANK::treats::Compound:Disease
DB00006	D013927	Compound::DB00006	Disease::MESH:D013927	DRUGBANK::treats::Compound:Disease
DB00006	D003327	Compound::DB00006	Disease::MESH:D003327	DRUGBANK::treats::Compound:Disease
DB00006	D000789	Compound::DB00006	Disease::MESH:D000789	DRUGBANK::treats::Compound:Disease
DB00007	D011471	Compound::DB00007	Disease::MESH:D011471	DRUGBANK::treats::Compound:Disease
DB00007	C535343	Compound::DB00007	Disease::MESH:C535343	DRUGBANK::treats::Compound:Disease
DB00007	D004715	Compound::DB00007	Disease::MESH:D004715	DRUGBANK::treats::Compound:Disease
DB00007	D007889	Compound::DB00007	Disease::MESH:D007889	DRUGBANK::treats::Compound:Disease
DB00008	D008107	Compound::DB00008	Disease::MESH:D008107	DRUGBANK::treats::Compound:Disease
DB00011	D000163	Compound::DB00011	Disease::MESH:D000163	DRUGBANK::treats::Compound:Disease
DB00012	D000740	Compound::DB00012	Disease::MESH:D000740	DRUGBANK::treats::Compound:Disease
DB00013	D003324	Compound::DB00013	Disease::MESH:D003324	DRUGBANK::treats::Compound:Disease
DB00013	D013625	Compound::DB00013	Disease::MESH:D013625	DRUGBANK::treats::Compound:Disease
DB00014	D011471	Compound::DB00014	Disease::MESH:D011471	DRUGBANK::treats::Compound:Disease
DB00014	D004715	Compound::DB00014	Disease::MESH:D004715	DRUGBANK::treats::Compound:Disease
