source	metaedge	target
Compound::DB01175	CpD	Disease::MESH:D001714
Compound::DB00321	CpD	Disease::MESH:D001172
Compound::DB00176	CpD	Disease::MESH:D016584
Compound::DB01037	CpD	Disease::MESH:C536597
Compound::DB00945	CpD	Disease::MESH:D008180
Compound::DB01100	CpD	Disease::MESH:D005879
Compound::DB00328	CpD	Disease::MESH:D013167
Compound::DB00218	CpD	Disease::MESH:D029424
Compound::DB00989	CpD	Disease::MESH:D010300
Compound::DB00203	CpD	Disease::MESH:D012595
Compound::DB00500	CpD	Disease::MESH:D010003
Compound::DB01224	CpD	Disease::MESH:D001321
Compound::DB01104	CpD	Disease::MESH:D012559
Compound::DB00996	CpD	Disease::MESH:D008180
Compound::DB01175	CpD	Disease::MESH:D003866
Compound::DB00104	CpD	Disease::MESH:D010195
Compound::DB00741	CpD	Disease::MESH:D007680
Compound::DB01267	CpD	Disease::MESH:D012559
Compound::DB01068	CpD	Disease::MESH:D010300
Compound::DB01200	CpD	Disease::MESH:D010300
Compound::DB00692	CpD	Disease::MESH:D006973
Compound::DB00402	CpD	Disease::MESH:D009103
Compound::DB00810	CpD	Disease::MESH:D010300
Compound::DB01063	CpD	Disease::MESH:D012559
Compound::DB01255	CpD	Disease::MESH:D001289
Compound::DB00215	CpD	Disease::MESH:D003866
Compound::DB00230	CpD	Disease::MESH:D008180
Compound::DB00500	CpD	Disease::MESH:D001172
Compound::DB00980	CpD	Disease::MESH:D010300
Compound::DB00281	CpD	Disease::MESH:D003324
Compound::DB00404	CpD	Disease::MESH:D016584
Compound::DB00402	CpD	Disease::MESH:D012559
Compound::DB01001	CpD	Disease::MESH:D065631
Compound::DB00985	CpD	Disease::MESH:D012559
Compound::DB01224	CpD	Disease::MESH:D001714
Compound::DB00829	CpD	Disease::MESH:D016584
Compound::DB00540	CpD	Disease::MESH:D001289
Compound::DB01149	CpD	Disease::MESH:D003866
Compound::DB00554	CpD	Disease::MESH:D010003
Compound::DB00860	CpD	Disease::MESH:D054990
Compound::DB00169	CpD	Disease::MESH:D007676
Compound::DB01037	CpD	Disease::MESH:D003866
Compound::DB01156	CpD	Disease::MESH:D001289
Compound::DB00334	CpD	Disease::MESH:D005879
Compound::DB00443	CpD	Disease::MESH:D001932
Compound::DB00482	CpD	Disease::MESH:D010003
Compound::DB00537	CpD	Disease::MESH:D029424
Compound::DB00742	CpD	Disease::MESH:D005901
Compound::DB01166	CpD	Disease::MESH:D012595
Compound::DB00813	CpD	Disease::MESH:C537243
Compound::DB00477	CpD	Disease::MESH:D019955
Compound::DB00715	CpD	Disease::MESH:D016584
Compound::DB00214	CpD	Disease::MESH:D007676
Compound::DB00458	CpD	Disease::MESH:D001289
Compound::DB00924	CpD	Disease::MESH:D010003
Compound::DB00915	CpD	Disease::MESH:D010300
Compound::DB01356	CpD	Disease::MESH:D012559
Compound::DB00246	CpD	Disease::MESH:D001714
Compound::DB01115	CpD	Disease::MESH:D012595
Compound::DB01009	CpD	Disease::MESH:D010003
Compound::DB00554	CpD	Disease::MESH:D001172
Compound::DB00673	CpD	Disease::MESH:D003110
Compound::DB00245	CpD	Disease::MESH:C536597
Compound::DB00572	CpD	Disease::MESH:C536215
Compound::DB00443	CpD	Disease::MESH:D001943
Compound::DB00977	CpD	Disease::MESH:D001943
Compound::DB00514	CpD	Disease::MESH:D009103
Compound::DB00736	CpD	Disease::MESH:D004938
Compound::DB00289	CpD	Disease::MESH:D001321
Compound::DB00273	CpD	Disease::MESH:D001714
Compound::DB00727	CpD	Disease::MESH:D003324
Compound::DB00776	CpD	Disease::MESH:D001714
Compound::DB00945	CpD	Disease::MESH:D001172
Compound::DB01156	CpD	Disease::MESH:D016584
Compound::DB00472	CpD	Disease::MESH:D016584
Compound::DB00334	CpD	Disease::MESH:D016584
Compound::DB00788	CpD	Disease::MESH:D008881
Compound::DB00482	CpD	Disease::MESH:D008180
Compound::DB00241	CpD	Disease::MESH:D008881
Compound::DB00903	CpD	Disease::MESH:D007676
Compound::DB01165	CpD	Disease::MESH:D029424
Compound::DB00736	CpD	Disease::MESH:C537243
Compound::DB00315	CpD	Disease::MESH:D008881
Compound::DB00281	CpD	Disease::MESH:D010003
Compound::DB00316	CpD	Disease::MESH:D008881
Compound::DB00734	CpD	Disease::MESH:D019955
Compound::DB00555	CpD	Disease::MESH:D001714
Compound::DB00363	CpD	Disease::MESH:D012559
Compound::DB00977	CpD	Disease::MESH:D011085
Compound::DB00433	CpD	Disease::MESH:D001943
Compound::DB01043	CpD	Disease::MESH:D010300
Compound::DB00477	CpD	Disease::MESH:D001714
Compound::DB00635	CpD	Disease::MESH:D010003
Compound::DB01219	CpD	Disease::MESH:D009103
Compound::DB00461	CpD	Disease::MESH:D001172
Compound::DB01397	CpD	Disease::MESH:D011565
Compound::DB00353	CpD	Disease::MESH:D008881
Compound::DB00443	CpD	Disease::MESH:D003110
Compound::DB00736	CpD	Disease::MESH:D007680
Compound::DB00289	CpD	Disease::MESH:D001289
Compound::DB00656	CpD	Disease::MESH:D012559
Compound::DB00313	CpD	Disease::MESH:D003866
Compound::DB01012	CpD	Disease::MESH:D007676
Compound::DB00673	CpD	Disease::MESH:D001943
Compound::DB01137	CpD	Disease::MESH:D029424
Compound::DB00712	CpD	Disease::MESH:D010003
Compound::DB00814	CpD	Disease::MESH:D012595
Compound::DB00476	CpD	Disease::MESH:D001714
Compound::DB00367	CpD	Disease::MESH:D011085
Compound::DB00586	CpD	Disease::MESH:D001172
Compound::DB00422	CpD	Disease::MESH:D001289
Compound::DB00245	CpD	Disease::MESH:D010300
Compound::DB01085	CpD	Disease::MESH:D006258
Compound::DB00776	CpD	Disease::MESH:D009103
Compound::DB00193	CpD	Disease::MESH:D012148
Compound::DB00351	CpD	Disease::MESH:D001943
Compound::DB00482	CpD	Disease::MESH:D003110
Compound::DB01018	CpD	Disease::MESH:D001289
Compound::DB06684	CpD	Disease::MESH:D003866
Compound::DB00715	CpD	Disease::MESH:D001714
Compound::DB00707	CpD	Disease::MESH:D004938
Compound::DB00408	CpD	Disease::MESH:D012559
Compound::DB00268	CpD	Disease::MESH:D012148
Compound::DB00190	CpD	Disease::MESH:D012148
Compound::DB01020	CpD	Disease::MESH:D003324
Compound::DB00829	CpD	Disease::MESH:D009103
Compound::DB01186	CpD	Disease::MESH:D010300
Compound::DB00813	CpD	Disease::MESH:D008175
Compound::DB00575	CpD	Disease::MESH:D001289
Compound::DB00268	CpD	Disease::MESH:C536597
Compound::DB00952	CpD	Disease::MESH:D008881
Compound::DB00313	CpD	Disease::MESH:D012559
Compound::DB01198	CpD	Disease::MESH:D012559
Compound::DB00254	CpD	Disease::MESH:D029424
Compound::DB00635	CpD	Disease::MESH:D008881
Compound::DB01401	CpD	Disease::MESH:D011565
Compound::DB01233	CpD	Disease::MESH:C537243
Compound::DB00458	CpD	Disease::MESH:D016584
Compound::DB00540	CpD	Disease::MESH:D003866
Compound::DB00286	CpD	Disease::MESH:D001943
Compound::DB00734	CpD	Disease::MESH:D012559
Compound::DB00475	CpD	Disease::MESH:D000437
Compound::DB00996	CpD	Disease::MESH:D001714
Compound::DB01399	CpD	Disease::MESH:D001172
Compound::DB00904	CpD	Disease::MESH:D000437
Compound::DB00797	CpD	Disease::MESH:D012595
Compound::DB00363	CpD	Disease::MESH:D001714
Compound::DB00316	CpD	Disease::MESH:D010003
Compound::DB00321	CpD	Disease::MESH:D003866
Compound::DB00458	CpD	Disease::MESH:D003866
Compound::DB00295	CpD	Disease::MESH:D003324
Compound::DB00586	CpD	Disease::MESH:D012595
Compound::DB01142	CpD	Disease::MESH:D003876
Compound::DB01296	CpD	Disease::MESH:D010003
Compound::DB00575	CpD	Disease::MESH:D005879
Compound::DB00461	CpD	Disease::MESH:D010003
Compound::DB00472	CpD	Disease::MESH:D012559
Compound::DB00281	CpD	Disease::MESH:D001172
Compound::DB00338	CpD	Disease::MESH:D004938
Compound::DB01398	CpD	Disease::MESH:D011565
Compound::DB01576	CpD	Disease::MESH:D009290
Compound::DB00814	CpD	Disease::MESH:D008180
Compound::DB00991	CpD	Disease::MESH:D001172
Compound::DB00201	CpD	Disease::MESH:D008881
Compound::DB00190	CpD	Disease::MESH:D010300
Compound::DB01075	CpD	Disease::MESH:D010300
Compound::DB00910	CpD	Disease::MESH:D007676
Compound::DB00321	CpD	Disease::MESH:D008180
Compound::DB01364	CpD	Disease::MESH:D065631
Compound::DB00679	CpD	Disease::MESH:D012559
Compound::DB01068	CpD	Disease::MESH:D012559
Compound::DB00624	CpD	Disease::MESH:D001943
Compound::DB00182	CpD	Disease::MESH:D009290
Compound::DB01427	CpD	Disease::MESH:C536231
Compound::DB00281	CpD	Disease::MESH:D012595
Compound::DB00575	CpD	Disease::MESH:D012148
Compound::DB00427	CpD	Disease::MESH:D003876
Compound::DB01240	CpD	Disease::MESH:D012595
Compound::DB00734	CpD	Disease::MESH:D001714
Compound::DB00656	CpD	Disease::MESH:D003866
Compound::DB00945	CpD	Disease::MESH:D015210
Compound::DB01367	CpD	Disease::MESH:D010300
Compound::DB00861	CpD	Disease::MESH:D010003
Compound::DB01440	CpD	Disease::MESH:D009290
Compound::DB00540	CpD	Disease::MESH:D016584
Compound::DB00320	CpD	Disease::MESH:D008881
Compound::DB00936	CpD	Disease::MESH:D011565
Compound::DB00404	CpD	Disease::MESH:D012595
Compound::DB00934	CpD	Disease::MESH:D016584
Compound::DB00184	CpD	Disease::MESH:D014029
Compound::DB00104	CpD	Disease::MESH:D003922
Compound::DB06710	CpD	Disease::MESH:D001943
Compound::DB01238	CpD	Disease::MESH:D001714
Compound::DB00996	CpD	Disease::MESH:D009103
Compound::DB00514	CpD	Disease::MESH:D000690
Compound::DB00741	CpD	Disease::MESH:C537243
Compound::DB00788	CpD	Disease::MESH:D010003
Compound::DB01395	CpD	Disease::MESH:D011085
Compound::DB00248	CpD	Disease::MESH:D010300
Compound::DB00387	CpD	Disease::MESH:D010300
Compound::DB00924	CpD	Disease::MESH:D008881
Compound::DB00482	CpD	Disease::MESH:D019337
Compound::DB00959	CpD	Disease::MESH:D001932
Compound::DB01037	CpD	Disease::MESH:D010300
Compound::DB00814	CpD	Disease::MESH:D013167
Compound::DB00745	CpD	Disease::MESH:D009290
Compound::DB00861	CpD	Disease::MESH:D001172
Compound::DB01435	CpD	Disease::MESH:D008881
Compound::DB00338	CpD	Disease::MESH:D012595
Compound::DB00334	CpD	Disease::MESH:D001714
Compound::DB01173	CpD	Disease::MESH:D008881
Compound::DB01242	CpD	Disease::MESH:D016584
Compound::DB00668	CpD	Disease::MESH:D001249
Compound::DB00600	CpD	Disease::MESH:D014820
Compound::DB00697	CpD	Disease::MESH:D009103
Compound::DB00215	CpD	Disease::MESH:D001714
Compound::DB00717	CpD	Disease::MESH:D011085
Compound::DB01119	CpD	Disease::MESH:D006973
Compound::DB00657	CpD	Disease::MESH:D005879
Compound::DB01224	CpD	Disease::MESH:C536597
Compound::DB00482	CpD	Disease::MESH:D001172
Compound::DB00564	CpD	Disease::MESH:D009103
Compound::DB00500	CpD	Disease::MESH:D013167
Compound::DB00623	CpD	Disease::MESH:D012559
Compound::DB00820	CpD	Disease::MESH:D012595
Compound::DB00668	CpD	Disease::MESH:D065631
Compound::DB00258	CpD	Disease::MESH:D007676
Compound::DB00413	CpD	Disease::MESH:D012148
Compound::DB00424	CpD	Disease::MESH:D010300
Compound::DB00424	CpD	Disease::MESH:C536215
Compound::DB00203	CpD	Disease::MESH:D003922
Compound::DB00343	CpD	Disease::MESH:D003324
