disease	mesh_id
cystic fibrosis	D003550
cutaneous t-cell lymphoma	D016410
rheumatoid arthritis	D001172
polyarticular idiopathic arthritis	D001171
psoriatic arthritis	D015535
ankylosing spondylitis	D013167
thrombosis	D013927
coronary syndromes	D003327
unstable angina	D000789
advanced prostate cancer	D011471
cpp	C535343
endometriosis	D004715
leiomyomata	D007889
uterine fibroids	D007889
compensated liver disease	D008107
liver disease	D008107
human papiloma virus	D000163
anemia	D000740
thrombi obstructing coronary arteries	D003324
occlusive thromboemboli	D013625
locally confined carcinoma of the prostate	D011471
advanced carcinoma of the prostate	D011471
dysfunctional uterine bleeding	D008796
cancer	D002277
myocardial infarction	D009203
chronic kidney disease	D007676
ckd	D007676
hypercalcemia	D006934
azotemia	D053099
post-menopausal osteoporosis	D015663
febrile neutropenia	D064147
acute radiation syndrome	D054508
acute lymphoblastic leukemia	D054198
all	D054198
thyroid cancer	D013964
hemophilia a	D006467
von willebrand disease	D014842
factor xiii deficiency	D005177
eye infections	D015817
autoimmune and inflammatory disorders	D001327
idiopathic thrombocytopenic purpura	D016553
kawasaki disease	D009080
hypogammaglobulinemia	D000361
b cell chronic lymphocytic leukemia	D015451
guillain-barre syndrome	D020275
cidp	D020277
multiple sclerosis	D009103
myesthenia gravis	D003093
wiskott-aldrich syndrome	D014923
inflammatory skin diseases	D012871
female infertility	D007247
chronic granulomatous disease	D006105
osteopetrosis	D010022
chronic hepatitis c	D006526
hairy cell leukemia	D007943
chronic myelogenous leukemia	D015464
hiv infection	D015658
nocturia	D053158
nocturnal polyuria	D011141
central cranial diabetes insipidus	D020790
polyuria	D011141
polydipsia	D059606
head trauma	D006259
von willebrand	D014842
s disease	C563052
hemophilia a and b	D002836
thrombocytopenia	D013921
nonmyeloid malignancies	D016609
oral mucositis	D013280
metastatic renal cell carcinoma	D002292
cervical dystonia	D014103
neck pain	D019547
asthma	D001249
infertility	D007246
hypothalamic or pituitary insufficiency	D007018
hypogonadotropic hypogonadism	D007713
lh deficiency	C567320
lyme disease	D008193
type 1 diabetes mellitus	D003922
type 2 diabetes mellitus	D003924
burns	D002056
dermal ulcers	D014456
decubitus ulcers	D003668
hyperuricemia	D033461
juvenile idiopathic arthritis	D001171
crohn s disease	D003424
ulcerative colitis	C536315
panuveitis  hidradenitis	D015864
acromegaly	D000172
gaucher's disease	D005776
deficiency in glucocerebrosidase	D005776
sepsis	D018805
acute myeloid leukemia	D015470
cd33-positive aml	D015470
extrahepatic malignant cancers	D001650
emphysema	D004646
hypovolemia	D020896
ascites	D001201
hypoalbuminemia	D034141
acute nephrosis	D009401
respiratory distress syndrome	D012127
enterocutaneous and rectovaginal fistulas	D012006
arthritis	D001168
hypogonadotrophic hypogonadism	D007006
enuresis	D004775
diabetes insipidus	D003919
oesophageal varices	D004932
malignant melanoma	D008545
type i and ii diabetes mellitus	D003924
metastatic disease	D009362
her-2 positive breast cancers	D001943
non-hodgkin s lymphoma	D008228
nhl	D008228
chronic lymphocytic leukemia	D015451
cll	D015451
ra	D001172
polyangiitis	D055953
wegener s granulomatosis	D014890
pemphigus vulgaris	D010392
pv	D011087
digitalis glycoside toxicity	D064420
non-hodgkin's lymphoma	D008228
skin and skin structure infections	D013207
axillary hyperhidrosis	D006945
strabismus	D013285
blepharospasm	D001764
dystonia	D020821
essential blepharospasm	C535428
vii nerve disorders	D005155
pancreatic insufficiency	D010188
chronic pancreatitis	D050500
pancreatic disease	D010182
pancreatic diseases	D010182
malnutrition	D044342
weight loss	D015431
steatorrhea	D045602
pulmonary embolism	D011655
deep vein thrombosis	D020246
b-cell chronic lymphocytic leukemia	D015451
prostate cancer	D011471
mucopolysaccharidosis	D009083
allogeneic kidney, liver, and heart transplants	D006335
-host disease	D004194
gvhd	D006086
keratoconjunctivitis sicca	D007638
nephrotic syndrome	D009404
focal and segmental glomerulosclerosis	C537923
membranous glomerulonephritis	D015433
autoimmune and inflammatory conditions	C538273
atopic dermatitis	D003876
blistering disorders	D001768
uveitis	D014605
connective tissue diseases	D003240
ischaemia	D007511
neutropenia	D009503
fever	D005334
aml	D015470
oropharyngeal ulcers	D014456
congenital neutropenia  cyclic neutropenia	C536227
hemophilia	D006467
christmas disease	D002836
skin ulcers	D012883
fabry's disease	D000795
alpha-galactosidase a deficiency	D000795
diarrhea	C565627
carcinoid tumors	D002276
respiratory diseases	D012120
metastatic colorectal cancer	D009362
non-squamous non-small cell lung cancer	D002289
cervical cancer	D002583
epithelial ovarian cancer	C538090
fallopian tube cancer	D005185
acute respiratory distress syndrome	D012128
ards	D012128
acute lung injury	D055371
colorectal tumors	D015179
vitamin b12 deficiency	D014806
vitamin b12 deficiencies	D014806
neurologic manifestations	D009461
addisonian (pernicious) anemia	D000752
gluten enteropathy	D002446
folic acid deficiency	D005494
thyrotoxicosis	D006111
hemolytic anemia	D000743
uremia	D014511
liver disorders	D008107
fibromyalgia	D005356
osteoarthritis	D010003
tardive dyskinesia	D009069
schizophrenic	D012559
vitamin c deficiency	D001206
sickle cell disease	D000755
narcolepsy	D009290
chronic fatigue	D015673
vitamin d deficiency	D014808
insufficiency	D048550
vitamin d resistant rickets	D063730
familial hypophosphatemia	D007015
hypoparathyroidism	D007011
hypocalcemia	D006996
renal osteodystrophy	D012080
chronic renal failure	D007676
ariboflavinosis	D012257
vitamin b2 deficiency	D012257
ulcers	D014456
alcoholism	D000437
schizophrenia	D012559
alzheimer's disease	D000544
memory impairment	D008569
alzheimer's dementias	D000544
trauma	D014947
thiamine and niacin deficiency	D013832
korsakov's alcoholic psychosis	D011604
wernicke-korsakov syndrome	D020915
delirium	D003693
peripheral neuritis	D009443
deficiency in vitamin d, calcium or phosphorus	D001361
renal diseases	D007674
osteomalacia	D010018
parkinson's disease	D010300
chronic fatigue syndrome	D015673
cardiovascular disease	D002318
megaloblastic anemia	D000749
anemias	D000740
type 2 diabetics	D003924
diabetic nephropathy	D003928
hepatic encephalopathy	D006501
phenylketonuria	D010661
vitamin a deficiency	D014802
vitamin e deficiency	D014811
cholestasis	D002779
abetalipoproteinemia	D000012
vitamin b6 deficiency	D026681
peripheral neuropathy	D010523
nausea and vomiting	D009325
antihepatic encephalopathy	D001927
dyskinesia	D020820
coronary events	D003327
hypercholesterolemic	D006938
coronary heart disease	D003327
cardiovascular events	D002318
coronary death	D003328
stroke	D020521
coronary atherosclerosis	D003324
hypercholesterolemia	D006937
dyslipidemias	D050171
type iv hyperlipidemia	D006953
familial hypercholesterolemia	D006938
cardiovascular diseases	D002318
dysbetalipoproteinemia	D006952
type iii hyperlipidemia	D006952
dyslipidemia	D050171
obsessive compulsive disorder	D009771
ocd	D009771
bulimia nervosa	D052018
hypertension	D006973
strokes	D020521
myocardial infarctions	D009203
nyha class ii-iv	D008312
left ventricular dysfunction	D018487
congestive heart failure	D006333
cardiovascular	D002318
renal disease	D007674
actinic keratoses	D055623
flexor spasms	D001986
pain	D010146
muscle spasm	D013035
adhd	D001289
central nervous system disorders	D002493
mental disorders	D001523
chronic sleep disorder	D012893
obesity	D009765
chronic pain	D059350
dry mouth	D014987
sj&ouml;gren's syndrome	D013577
anxiety disorders	D001008
depressive symptoms	D009497
anxiety-associated insomnia	D007319
amnesia	D000647
status epilepticus	D013226
alcohol withdrawal delirium	D000430
