drugbank_id	mesh_id
DB00003	D003550
DB00004	D016410
DB00005	D001172
DB00005	D001171
DB00005	D015535
DB00005	D013167
DB00006	D013927
DB00006	D003327
DB00006	D000789
DB00007	D011471
DB00007	C535343
DB00007	D004715
DB00007	D007889
DB00007	D007889
DB00008	D008107
DB00008	D008107
DB00011	D000163
DB00012	D000740
DB00013	D003324
DB00013	D013625
DB00014	D011471
DB00014	D011471
DB00014	D004715
DB00014	D008796
DB00014	D002277
DB00015	D009203
DB00016	D000740
DB00016	D007676
DB00016	D007676
DB00017	D006934
DB00017	D053099
DB00017	D015663
DB00019	D064147
DB00019	D054508
DB00020	D002277
DB00023	D054198
DB00023	D054198
DB00024	D013964
DB00025	D006467
DB00025	D014842
DB00025	D005177
DB00026	D001172
DB00027	D015817
DB00028	D001327
DB00028	D016553
DB00028	D009080
DB00028	D000361
DB00028	D015451
DB00028	D020275
DB00028	D020277
DB00028	D009103
DB00028	D001172
DB00028	D003093
DB00028	D014923
DB00028	D012871
DB00029	D009203
DB00030	D003920
DB00031	D009203
DB00032	D007247
DB00033	D006105
DB00033	D010022
DB00034	D006526
DB00034	D007943
DB00034	D015464
DB00034	D015658
DB00035	D053158
DB00035	D011141
DB00035	D020790
DB00035	D011141
DB00035	D059606
DB00035	D006259
DB00035	D006467
DB00035	D014842
DB00035	C563052
DB00036	D002836
DB00038	D013921
DB00038	D016609
DB00039	D013280
DB00040	D007003
DB00041	D002292
DB00042	D014103
DB00042	D019547
DB00043	D001249
DB00044	D007246
DB00044	D007018
DB00044	D007713
DB00044	C567320
DB00045	D008193
DB00046	D003920
DB00047	D003922
DB00047	D003924
DB00048	D002056
DB00048	D014456
DB00048	D003668
DB00049	D033461
DB00051	D001172
DB00051	D001171
DB00051	D015535
DB00051	D013167
DB00051	D003424
DB00051	C536315
DB00051	D015864
DB00052	D000172
DB00053	D005776
DB00053	D005776
DB00054	D000789
DB00055	D018805
DB00056	D015470
DB00056	D015470
DB00057	D001650
DB00058	D004646
DB00059	D054198
DB00060	D009103
DB00062	D020896
DB00062	D001201
DB00062	D034141
DB00062	D002056
DB00062	D009401
DB00062	D012127
DB00063	D009203
DB00063	D054058
DB00065	D003424
DB00065	D012006
DB00065	C536315
DB00065	D001172
DB00065	D013167
DB00065	D001168
DB00065	D015535
DB00066	D007006
DB00067	D004775
DB00067	D011141
DB00067	D003919
DB00067	D059606
DB00067	D004932
DB00068	D009103
DB00069	D007943
DB00069	D008545
DB00071	D003924
DB00072	D009362
DB00072	D001943
DB00073	D008228
DB00073	D008228
DB00073	D015451
DB00073	D015451
DB00073	D001172
DB00073	D001172
DB00073	D055953
DB00073	D014890
DB00073	D010392
DB00073	D011087
DB00076	D064420
DB00078	D008228
DB00080	D013207
DB00081	D008228
DB00082	D000172
DB00083	D014103
DB00083	D019547
DB00083	D006945
DB00083	D013285
DB00083	D001764
DB00083	D020821,D004421
DB00083	C535428
DB00083	D005155
DB00085	D010188
DB00085	D003550
DB00085	D050500
DB00085	D010182
DB00085	D010182
DB00085	D044342
DB00085	D015431
DB00085	D045602
DB00086	D011655
DB00086	D020246
DB00087	D015451
DB00088	D005776
DB00088	D005776
DB00089	D011471
DB00090	D009083
DB00091	D006335
DB00091	D004194
DB00091	D006086
DB00091	D001172
DB00091	D001172
DB00091	D007638
DB00091	D009404
DB00091	C537923
DB00091	D015433
DB00091	C538273
DB00091	D003876
DB00091	D001768
DB00091	C536315
DB00091	D014605
DB00091	D003240
DB00091	D016553
DB00093	D007511
DB00094	D007247
DB00097	D007247
DB00099	D064147
DB00099	D016609
DB00099	D009503
DB00099	D005334
DB00099	D015470
DB00099	D015470
DB00099	D014456
DB00099	C536227
DB00100	D006467
DB00100	D002836
DB00102	D012883
DB00103	D000795
DB00103	D000795
DB00104	D000172
DB00104	C565627,D003967
DB00104	D002276
DB00105	D007943
DB00105	D008545
DB00106	D011471
DB00108	D009103
DB00110	D012120
DB00112	D009362
DB00112	D002289
DB00112	D002292
DB00112	D002583
DB00112	C538090
DB00112	D005185
DB00112	D005909
DB00112	D012128
DB00112	D012128
DB00112	D055371
DB00113	D015179
DB00115	D014806
DB00115	D014806
DB00115	D009461
DB00115	D000752
DB00115	D002446
DB00115	D005494
DB00115	D006111,D013971
DB00115	D000743
DB00115	D006470
DB00117	D001172
DB00117	D000740
DB00117	D014511
DB00118	D008107
DB00118	D005356
DB00118	D010003
DB00120	D014820
DB00120	D009069,D000071057
DB00120	D012559
DB00126	D001206
DB00126	D012614
DB00130	D000755
DB00135	D009290
DB00135	D015673
DB00136	D014808
DB00136	D048550
DB00136	D063730
DB00136	D007015
DB00136	D007011
DB00136	D006996
DB00136	D012080
DB00136	D007676
DB00136	D010024
DB00138	D010003
DB00138	D001172
DB00140	D012257
DB00140	D012257
DB00141	D010003
DB00142	D014456
DB00142	D000437
DB00142	D012559
DB00144	D000544
DB00144	D008569
DB00144	D000544
DB00146	D014808
DB00146	D048550
DB00146	D063730
DB00146	D007015
DB00146	D007011
DB00146	D006996
DB00146	D012080
DB00146	D007676
DB00146	D010024
DB00149	D014947
DB00152	D013832
DB00152	D011604
DB00152	D020915
DB00152	D003693
DB00152	D009443
DB00153	D007011
DB00153	D012279
DB00153	D007015
DB00153	D001361
DB00153	D007674
DB00153	D010018
DB00157	D010300
DB00157	D015673
DB00157	D000544
DB00157	D002318
DB00158	D005494
DB00158	D000749
DB00158	D000740
DB00159	D003550
DB00159	D003924
DB00159	D003928
DB00161	D006501
DB00161	D010661
DB00162	D014802
DB00163	D014811
DB00163	D003550
DB00163	D002779
DB00163	D008107
DB00163	D000012
DB00165	D026681
DB00165	D010523
DB00165	D009325
DB00167	D001927
DB00167	D020820
DB00169	D012279
DB00169	D063730
DB00169	D007011
DB00169	D007015
DB00169	D014808
DB00169	D048550
DB00169	D010024
DB00169	D007676
