drugbank_id	name	cas_num	type	disease	MeSHID
DB00001	Lepirudin	138068-37-8	biotech	heparin-induced thrombocytopenia	BERN:255344701
DB00002	Cetuximab	205923-56-4	biotech	metastatic colorectal carcinoma	BERN:254201101
DB00002	Cetuximab	205923-56-4	biotech	metastatic colorectal carcinoma	BERN:254201101
DB00003	Dornase alfa	143831-71-4	biotech	cystic fibrosis	"OMIM:219700	MESH:D003550	BERN:106986301"
DB00004	Denileukin diftitox	173146-27-5	biotech	cutaneous t-cell lymphoma	"MESH:D016410	BERN:107257301"
DB00005	Etanercept	185243-69-0	biotech	rheumatoid arthritis	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00005	Etanercept	185243-69-0	biotech	plaque psoriasis	BERN:256558801
DB00005	Etanercept	185243-69-0	biotech	polyarticular idiopathic arthritis	"MESH:D001171	BERN:107532101"
DB00005	Etanercept	185243-69-0	biotech	psoriatic arthritis	"OMIM:607507	MESH:D015535	BERN:107460201"
DB00005	Etanercept	185243-69-0	biotech	ankylosing spondylitis	"OMIM:106300	MESH:D013167	BERN:107423401"
DB00006	Bivalirudin	128270-60-0	small molecule	heparin-induced thrombocytopenia	BERN:255344701
DB00006	Bivalirudin	128270-60-0	small molecule	thrombosis	"MESH:D013927	BERN:257942301"
DB00006	Bivalirudin	128270-60-0	small molecule	coronary syndromes	"MESH:D003327	OMIM:300464	BERN:107000501"
DB00006	Bivalirudin	128270-60-0	small molecule	unstable angina	"MESH:D000789	BERN:254484101"
DB00007	Leuprolide	53714-56-0	small molecule	advanced prostate cancer	"OMIM:176807	MESH:D011471	BERN:107535701"
DB00007	Leuprolide	53714-56-0	small molecule	cpp	"MESH:C535343	OMIM:605387	BERN:2344101"
DB00007	Leuprolide	53714-56-0	small molecule	endometriosis	"OMIM:131200	MESH:D004715	BERN:106991301"
DB00007	Leuprolide	53714-56-0	small molecule	anemic	BERN:257390601
DB00007	Leuprolide	53714-56-0	small molecule	leiomyomata	"MESH:D007889	BERN:107003301"
DB00007	Leuprolide	53714-56-0	small molecule	uterine fibroids	"MESH:D007889	BERN:107003301"
DB00008	Peginterferon alfa-2a	198153-51-4	biotech	hcv	CUI-less
DB00008	Peginterferon alfa-2a	198153-51-4	biotech	compensated liver disease	"MESH:D008107	BERN:254566301"
DB00008	Peginterferon alfa-2a	198153-51-4	biotech	liver disease	"MESH:D008107	BERN:254566301"
DB00008	Peginterferon alfa-2a	198153-51-4	biotech	liver inflammation	BERN:259946101
DB00009	Alteplase	105857-23-6	biotech	acute myocardial infarction	BERN:261395401
DB00011	Interferon alfa-n1	74899-72-2	biotech	venereal or genital warts	BERN:255178701
DB00011	Interferon alfa-n1	74899-72-2	biotech	human papiloma virus	"MESH:D000163	BERN:106994901"
DB00012	Darbepoetin alfa	209810-58-2	biotech	anemia	"MESH:D000740	BERN:254431001"
DB00013	Urokinase	9039-53-6	biotech	thrombi obstructing coronary arteries	"MESH:D003324	BERN:106970901"
DB00013	Urokinase	9039-53-6	biotech	occlusive thromboemboli	"MESH:D013625	BERN:106921901"
DB00014	Goserelin	65807-02-5	small molecule	locally confined carcinoma of the prostate	"OMIM:176807	MESH:D011471	BERN:107535701"
DB00014	Goserelin	65807-02-5	small molecule	advanced carcinoma of the prostate	"OMIM:176807	MESH:D011471	BERN:107535701"
DB00014	Goserelin	65807-02-5	small molecule	endometriosis	"OMIM:131200	MESH:D004715	BERN:106991301"
DB00014	Goserelin	65807-02-5	small molecule	dysfunctional uterine bleeding	"MESH:D008796	BERN:257136001"
DB00014	Goserelin	65807-02-5	small molecule	cancer	"MESH:D002277	BERN:255268301"
DB00015	Reteplase	133652-38-7	biotech	acute pulmonary emboli	BERN:260879901
DB00015	Reteplase	133652-38-7	biotech	myocardial infarction	"MESH:D009203	OMIM:608446	BERN:106971801"
DB00016	Erythropoietin	11096-26-7	biotech	anemia	"MESH:D000740	BERN:254431001"
DB00016	Erythropoietin	11096-26-7	biotech	chronic kidney disease	"MESH:D007676	BERN:107351201"
DB00016	Erythropoietin	11096-26-7	biotech	ckd	"MESH:D007676	BERN:107351201"
DB00016	Erythropoietin	11096-26-7	biotech	anemia	"MESH:D000740	BERN:254431001"
DB00016	Erythropoietin	11096-26-7	biotech	hiv-infection	BERN:254051401
DB00016	Erythropoietin	11096-26-7	biotech	anemia	"MESH:D000740	BERN:254431001"
DB00017	Salmon calcitonin	47931-85-1	biotech	paget's disease	BERN:261229401
DB00017	Salmon calcitonin	47931-85-1	biotech	hypercalcemia	"MESH:D006934	BERN:258117601"
